title,description,categories
ساب های SPLپایونیر کمیاب ژاپنی,"در دو مدل:
TS-W5000SPL
TS-W5102SPL
٢٥٠٠ وات rms
موجود است
مدین ژاپن
سالم و تمیز
خریدار واقعی فقط تماس
اگه اطلاعات ندارید تماس نگیر",vehicles
لباس نگهبان محله,تاحالانپوشیدم خریده بودم برای نگهبانی که نرفتم بخوای بیرون بخری ۲۰۰پولش میشه.,personal
فروش مبل 8نفره محکم,یک دست مبل هشت نفره  به همراه گل میز، قرص ومحکم با قیمت مناسب و یک درخت تزیینی,for-the-home
بلوز زنانه,یک عدد بلوز زنانه پولک دار,personal
UPS برق اضــــــطراری,"دستگاه برق اضطراری 
3کیلوات ساعت قدرتشه
مناسب برای خدمات کامپیوتری‌، کافی نت، ومغازه و خانه برای مصارف روشنایی
3 الی 4 ساعت شارژ برای مصارف روشنایی
1 الی 2 ساعت برای کامپیوتر و لوازم الکتریکی
 15 الی 30 دقیقه برای مصارف دستگاه با مصرف زیاد
دستگاه برای چاپ بنر استفاده می شده
سالمه
سه میلیون دستگاه رو پارسال خریدم 
قیمت مناسب بگید فروشنده هستم",businesses
یخچال  mini bar,بدون موتور،ساخت ایتالیا  ،کاملا بدون صدا ،مخصوص اتاق خواب ، در اندازه(50*50 *50) سانتیمتر،,for-the-home
لب تاب دل 620,سالم سالم فقط اسپیکرخرابه بادوتافلش خورخریداربزنگه سیم کارت خوره,electronic-devices
پاور بانک 30هزار کیفیت عاااالی,پاور بانک 30 هزار میلی امپر مناسب برای ده بار شارژ کردن گوشی لپ تاب اسپیکر و.....قیمت استثنایی فقط 110هزارتومان همین کار توبازار زیره 200 هرارتومان نیست,electronic-devices
سامسونگ طرح,اکبند باشارژر و کارتن,electronic-devices
فروش 4 عدد قالپاق 57 پیکان,"سلام
فروش چهار عدد قالپاق پیکان 57  سالم به قیمت$NUMتومان.اس ام اس جواب نمیدم لطفا تماس بگیرید. با تشکر از مسولان دیوار
بهزادی هستم$NUM",vehicles
خرگوش,"خرگوش بازیگوش , به همراه غذا , ظرف آب سبد, وسایل بازیش",leisure-hobbies
تک صدفی,حدودا ۲۰۰۰ عدد دانه ای ۵۵۰ سالم,businesses
تاب ودامن مجلسی,بسیارشیک ومجلسی,personal
دستگاه کپی,یک عدددستگاه کپی که فکرکنم 2سالی هست که تومغازه خوابه باقیمتش کنارمیام چون من نمیدونم قیمتش چنده چجوری باش کارمیکنن فقط بهم گفتن بفروشش بازدیدفلاورجان ناظرجان تعیدش کن,businesses
ابلغ اس,ابلغ  ذات دار,leisure-hobbies
اسکی فضایی,"سالم و بدون نقص,کم جا, برای استفاده اسان در منزل یا سالن ورزش",leisure-hobbies
کابینت تمام mdfدرحد,کابینت تمام mdf بسیار تمیز و درحد نو فقط بخاطر باسازی به قیمت خوب میدم بره,for-the-home
میز پاچال mdf,"سلام
میز پاچال mdf سالم
مناسب سوپر و میوه فروشی و ...
یک کشو هم داره
لطفا اگه خریدارید ابتدا پیامک بدید",businesses
فروش دوچرخه ۲۶ایاما,"با سلام
یک ‌عدد دوچرخه ایاما مدل۲۰۰۸ دارای دو‌عدد دنده و کمک فنر وسط و دو فنر در جلو بسیار کم استفاده شده به فروش میرسد.
به مشتری واقعی تخفیف داده میشود.",leisure-hobbies
کتاب هیدرولیک کانالهای باز,"چاپ نوزدهم 

لطفا پیامک",leisure-hobbies
کتابهای مهندسی شیمی,با قیمت مناسب,leisure-hobbies
پرده,4 تیکه پرده برای پنجره های با عرض 2 متر و 1.5 متر مجموعا 200 هزار تومان,for-the-home
فرش دستبافت تبریز,کاملا سالم یک 9 متری و یک 12 متری  کار تبریز فوری فروشی زیر قیمت بدلیل مسافرت,for-the-home
اجاق گاز فر دار,اجاق گاز فر دار ۴شعله,for-the-home
قناری پرتقالی,نر سالم و بخون فقط تماس قیمت مقطوع,leisure-hobbies
جنسیس کوپه ٢٠١٠,"مشكي، موتور3800, فول وارداتی، ترمز برمبو،دنده پشت فرمان، ESP, سیستم صوتی infinity 
گلگیر جلو سمت شاگرد رنگ",vehicles
گالکسی مدل نود یک,موتور سالم استثنایی همه فلاپها سالم,vehicles
اتو پرسی,در حد نو- ابعاد بزرگ- مناسب برای اتوی شلوار و پیراهن,for-the-home
ماشین لباسشویی ال جی هفت کیلویی,به علت جابجایی عجله دارم فوری. تخفیف هم میدم. تایمرش بهم خورده.فوری فوری فوری,for-the-home
ساعت امگا plant ocean آکبند اتوماتیک و کوکی آک,ساعت امگا آکبند مدل 2015 که یه مدتی داخل وسایل بوده و اصلا استفاده نشده . الانم قصد فروشش رو دارم. خیلی ساعت شیک و خوش رخیه و از همه مهمتر اتوماتیکه که خودش کلی طرفدار داره این مدل ساعتها . مخصوصا این برند امگا . همه چیز فابریک و دست نخورده و دست نشده است. تخفیف کوچیک پای معامله.,personal
ساعت درجه 1 تخفیف 50%,"3تا ساعت آکبند طرح اصلی
تک موتوره سوئیس مارک
1 زنونه چنل فوق العاده شیک
2تا مردونه باکلاس
قیمت فوق العاده مناسب
فقط تماس",personal
تویوتا رافور,رنگ مشکی بدون رنگ لاستیکها نو صندوق عقب برقی و فول,vehicles
پراید وانت۹۳,"برج۸
یه کلگیر رنگ
شاسی خورده
دزدگیر،ضبط و روکش
بیمه تقریبا۱سال",vehicles
دانخوری آبخوری جوجه و بلدرچین,"فروش تعداد 200 عدد دانخوری پیچ و مهره ایی کله قندی(نو) مخصوص بلدرچین و جوجه هر عدد 8000 تومان. و 200عدد سینی دان خوری جوجه یک روزه(نو ) هر عدد 4000تومان و 150 عدد آب خوری (دسته دوم) بشقابی اتوماتیک.مخصوص بلدرچین و یک روزه مرغ .توافقی .زیر قیمت بازار. قیمتا مقطوع.
باتشکر از دیوار.",businesses
کمد دکوری یا کمد بچه,کمد دکوری یا کمد بچه ام دی اف بسیار سالم و تمیز در حد نو,personal
میز مانیکور و صندلی,نو...ام دی اف.پاسخگو فقط از طریق پیامک,businesses
گوشی جی 5 پریم,گوشی پریم جی5 یکروز کارکردگارانتی اینترنشنال با قاب,electronic-devices
اوجینال,دو عدد گلستر نر,leisure-hobbies
کله دمی نر روزگاری,سلام،درشت و خوب بپر درجه یک خلاصه خوبه.ممنون از دیوار.,leisure-hobbies
خودرو وانت پیکان مدل 1377,فوری فروشی,vehicles
پوتین چرم برزیل سایز 41.40تماس فقط خانوما,تماس فقط خانوم,personal
موتور شارژی,سالم بسیار تمیز باطری نو,personal
شلوار کتان مردانه,"شلوار کتان مردانه مارک بوگاتی ایتالیا اصل
در رنگهای متنوع و سایزهای 29 الی 38
فقط و فقط به صورت عمده
به قیمت استثنایی فقط 130هزار تومان",personal
سامسونگ A$NUM,گوشی سامسونگ A7. سری اول بسیار تمیز.بدون هیچ گونه عیب ایرادی.باشرط..همون طور که تو عکس مشخصه شارژ و هندزفری هنوز وا نشده..دارای برچسب گلس.ارتقا به اندروید 6.معاوضه اصلا ندارم.پیامم  جوابگو نیستم فقط تماس.باتشکر......,electronic-devices
فروش قناری. و مرغ عشق,تعدادی قناری نر وماده وچهار عدد مرغ عشق مولد وپنچ تخم جوفت نر وماده بعلت نداشتن وقت,leisure-hobbies
ماده یهودی سرخ,سلام ماده جوون ده پرو ننداخته هنوز...تخفیف هم در خدمت هستم پرنده  ‌‌..پرنده عطیقه نیست نقص هم نداره ...یا الله.‌,leisure-hobbies
آکواریوم,ابعاد اکواریوم 45*60*60 می باشد با کلیه لوازم.تصفیه اب ۱۸۰۰ لیتر در ساعت.پمپ بویو ۲کاناله.بخاری ۲۰۰ وات.لوازم تزیینی و فیلتر اسفنجی با هوا کار میکند.,leisure-hobbies
اباژور پایه بلند سالنی پایه برنج نقاشی,سنگین بسیار تمیز ارتفاع 104 مزاحمت پیگیری,for-the-home
سینی,سینی در ٢ سایز هر کدام$NUMتومان,for-the-home
دوتا بلژیکی نر,"با سلام
دو تا جوجه بلژیکی نر شدن.
دم سیاه مهر .
یکی پشت ابی مهر .
دونه ای 35 جفتش 70.
یاحق",leisure-hobbies
میز جلو مبلی تمیز با چهار عسلی,میز جلو مبلی تمیز و شیک باچهار عسلی که داخل میز طراحی شده کاملا سالم,for-the-home
دستگاه سینما خانگی.در حد آکبند(به شرط),همراه با خروجی های مختلف(حراج واقعی),electronic-devices
کپسول گاز,"فروش کپسول گاز آرژانتینی بسیار سالم و نو ١ سال ازش استفاده کردم بیمه هم داره 
همه جا نشون بده بعد بخر ١٢ کیلو فکر می کنم باشه چون یادم نیست ١ سال پیش خودم خریدم 
لطفا اس ام اس بدید بعد باهاتون تماس می گیرم مرسی",vehicles
فروش مانکن مردانه سالم,"٣ تا مانکن مردونه سالم 
با خریدار واقعی راه میام 
اگر هر ٣ تاشو بخوایین تخفیف میدم خوب اگر تکی هم باز راه میام 
قیمت پایه هرکدوم ٢٠٠ تومن
مغازه تو معالی آباد هست 
تماس بگیرید جهت هماهنگی
ممنون از دیوار",businesses
فروش لوازم روشنایی اقساطی با چک ۶ماهه,فروش لوستر و لوازم روشنایی وطراحی نور,businesses
دستگاه قطعه شویی و موتور شویی تهران صنعت,فروش و تامین انواع ماشین الات صنعتی و میلنگ تراشی,businesses
تاپینگ یخچال مناسب فست فود,در حد نو -دوماه استفاده شده _بازدید برابر با خرید-,businesses
کلید کنترل روی فرمان,مخصوص هیوندا,vehicles
کت شلوارسایز48,یه دست کت شلوار فقط چندبار پوشیده شده سالم سالم واسه قد176و وزن 78تا 88خوبه,personal
باد شکن ایسوزو,بادشکن ایسوزو,vehicles
پاترول دو در مدل ٧٢,پاترول دو در  فنى بسیار عالى  موتورz  بدون تصادف  چند لکه رنگ  کولر  دزدگیر  روکش صندلى چرم  لاستیک ها 80% دیسکو صفحه نو  دلکو مگنت  کمک هاى عقب نو  ١١ سال تخفیف بیمه,vehicles
گوشی   5s  تمیز در حد نو,"١٦ گیگ 
با جعبه + هندزفری + شارژر 
کاملا تمیز و بدون خط و خش",electronic-devices
چرخ اتومبیل,یک جفت رینگ ولاستیک الیکس,vehicles
تلویزیون با میز,تلویزیون 21 اینچ ال جی با میز آن.,electronic-devices
استارت. پیکان,استارت پیکان.75000تومان,vehicles
شارژر و هندزفری  سامسونگ NOTE3 سرجعبه,شارژر و هندزفری اصلی سرجعبه و استفاده نشده مال گوشی خودمه بوده,electronic-devices
یک جفت ملنگو نر و ماده کاملا اماده,کاملا سالم و سر حال بی سر و صدا.خیلی به هم علاقه دارن.با پرهای سالم و کشیده.مناسب برای جوجه کشی.با تشکر از دیوار اگهی تکراری نیست.,leisure-hobbies
تیبا ۲ فروشی,۲۳ میلیون.فروش فوری,vehicles
پراید131 se,لاستیک وبیمه فول یه گلگیر رنگ،تنها مشکل این ماشین اینه که باکلید خط کشیدن دور ماشینو,vehicles
کلیدهای داشبورد شورلت,"کلیدهای داشبورد شورلتی
بهمراه سوکت پشت
همینایی که تو عکسه.
شهررررررقزوین میباشد.",vehicles
کلش اف کلنز,اکانت لول 152 .ولول های دیگه ... به همراه کلن لول 8,electronic-devices
بوفه و ویترین دو تکه,"بوفه و ویترین پشت آینه دار دوتکه
لطف کنید قیمت رامسیج بدهید و بفرمایید مربوط به آگهی بوفه و ویترین دیوار میباشد.",for-the-home
پرش بالای ۶ساعت به شرط,یک جفت مفلغ کناری تر سوسکی قاره به شرط پرش بالای ۶ساعت بفروش می رسدکهنه بشن تو مایه عکس سوم میشن.اس ام اس جواب داده نمیشود مشتری واقعی تماس بگیره,leisure-hobbies
لوستر چوبی ٦شاخه تمیز,"بسیار نو
بعلت تغییر محل زندگی فروشنده ام",for-the-home
صندلی غذا ب ب کامفورت,بسیار تمیز و نو. قابلیت جداشدن رویه سینی و روکش صندلی کاملا قابل شستشو.۵حالت تنظیم شونده ارتفاع. ۴حالت تنظیم شونده پشتی صندلی.کمربند ایمنی قابل تنظیم دردوسایز.چرخدار و تاشو برای حمل راحت,personal
کفتر پرشی,سه تاشو ی جامیدم 130 تومن .  تکی 50 تومن .زاغ مادس دوتای دیگه نرن .  خریدار زنگ بزن. تعریف الکی نمیکنم تصویر خودش گویاس. پیامکم جواب میدم .باتشکر از دیوار,leisure-hobbies
بوفه و ویترین کودک بسیار شیک,بوفه و ویترین کودک جا دار و بسیار شیک بعلته تغییره دکوراسیون و کم بود جا فوری فروشی . مسیج جواب نمیدم .,personal
تولید کننده ی انواع کول بلوک سبک و جدول,تولید و پخش کول و بلوک ب نرخ کارگاه,businesses
الجی kp500,گوسی سالم و با ضمانت  صفحه لمسی ۳.۵ اینچی و سیستم جاوا که قابلیت ساپورت برنامه های جوارا داره  دوربین ۳  و رنگ مشکی به همراه قلم مخصوص تاچ,electronic-devices
چادر کامیون 5×6 برزنتی,سه عدد که دوتاش کار کرده. یکی دیگش نو,vehicles
گیتار یاماها,گیتار یاماها CG131S,leisure-hobbies
اسکیت (نو),"اسکیت نیترو کاملا نو میباشد و بدون استفاده (فقط دوسه بار پوشیده شده)
سایز 34 تا 37
به همراه جعبه و کلاه",leisure-hobbies
a9pro,"فروش یا معاوضه با نوت ۷ 
این گوشی a9pro هست و با a9 معمولی فرق داره 
در ضمن تو ایرانم نیست برا خودم دوملیونو نیم افتاده 
ی گارد ژله ای هم داره 
باتریش ۵۰۰۰ امپره ومجهز به شارژ سریع 
دوربین ۱۶ 
سلفی ۸ 
۶اینچ",electronic-devices
نیوبالانس 2016,made in  USA از امریکا اوردنش واسم اورجیناله.,personal
خودرو ال90 E2فول .مدل1386,گلگیر عقب ودرب عقب  سمت شاگرد رنگ شدگی دارد,vehicles
پاور بهرینگر,"دوعدد پاور بهرینگر 1500و2500 سالم و بسیار کم کار کرد 
با قیمت مناسب 
$NUM",leisure-hobbies
بهترین قیمت عمده دوربین و لوازام,"عمده و خرده فروشی لوازم دوربین مدار بسته به صرفه برای همکار و مشتری
دزد گیر اماکن.
درب برقی
سانترال",businesses
راکت دونیک,"سلام راکت دونیک لول ٥٠٠ دارم نو نو هستش خیلی کم استفاده کردم فقط باهاش مسابقه دادم و پینگ پونگ رو کنار گزاشتم
تخفیف هم داره با تشکر از دیوار",leisure-hobbies
نمدپراید,"فروش نمدسینه جلوپراید
نوی نو",vehicles
شلوار راحتی گرمکنی اسلش مردانه,"فقط 2هزار تومن 
70 عدد شلوار راحتی گرمکنی اسلشی سه رنگ ابی بنفش قرمز سایز بندی جور بدونه ایراد ...نو نو بنگلادشی
ته بار مغازه...",personal
میز ویترینی دخل,"سلام یک متر در یکمتروچهل هستش
تماس فقط جوابگو هستم",businesses
رومیزی کار دست,"بسیار شیک مستطیل کار دست ترکمنستان نو نو فقط چون تو بار بوده چروکه که باید اتو بشه حتی بافت پارچه نیز کار دسته ابعاد 171 در 151 
به تلگرام بیایید برای دیدن اجناس انتیک",for-the-home
pvcگرانول مشکی,"سلام 
مواد تزریق پلاستیک pvc مشکی بسیار تمیز مشابه نو حدود ۴۵۰ کیلو گرم موجود است.هرکیلو ۲۵۰۰.",businesses
دوشاخ  دوچرخه فابریک,دوچرخم  رو اوراق کردم,leisure-hobbies
مجموعه دروس چند رسانه ای سنجش تکمیلی,رشته زیست شناسی_ژنتیک,leisure-hobbies
قهوه ساز برقی,تعدادی قهوه ساز (کافی میکر)برقی نو -دسته اول فرمونی همراه با ٢ فنجان به فروش می رسد,for-the-home
رینگ ام وی ام 315 نیو,یک عدد رینگ نو,vehicles
کیف دستی زنانه,تعداد ۱۱عدد,personal
خروس لاری دونگ بالا فروشی یا معاوضه,خروس لاری 5_5 دونگ 88سانت کشیده 19ماهه سالم وسلامت مست مسته هم فروشه هم معاوضه با جوجه لاری تعداد فیلم کسو ندارم ممنون از عوامل دیوار مشتری واقعی تماس بگیره اون دسته برادرانی که سوال دارن برن روانشناسی سوالشونو بپرسن نمیدم حیون اینجوری اون جوری من نمیدم دست شما درد نکنه ممنون,leisure-hobbies
تولیدی پوشاک زنانه,تولید و پخش لباس های راحتی، دخترانه زنانه و بچه گانه درطرح و رنگ های مختلف با قیمت مناسب,businesses
کمد سه کشو,کمد تمیز و سالم دارای سه کشو. جاکم دارم. بدون شکستگی و....,for-the-home
فروش تختخواب و میز دراور,تختخواب و میز دراور و پاتختی می باشد,for-the-home
فروش مبل راحتی چرم وپارچه,مبل ۱۱نفره پارچه ترک قیمت$NUM,for-the-home
فریزر ایستاده 4 درب,سالم ودر حال کار با موتور 3/4 فرانسه,businesses
پراید تمیز بدون  رنگ,بیمه تا برج 11,vehicles
سمند ایکس ۷نقره ای,از اول تخفیف بیمه بدون رنگ موتوری سالم تسمه تایم و دینام.و باطری تعویض شده است دو گانه ال پی جی,vehicles
کبوتر,کلاغ زرد نر قیمت فقط 20لطفا بگین بابت کدوم آگهی ممنونم,leisure-hobbies
تردمیل,تردمیل 4کاره ...بسیار محکم.به علت جابه جایی بفروش میرسد...بسیار بسیار مناسب...یاعلی,leisure-hobbies
پستیژ  . کلاه گیس . مو مصنوعی,پستیژ در حد نو فقط سه بار استفاده شده.رنگ قهوه ای با تناژ ماهگونی خیلی شیک. قابل سشوار کشیدن و لخت کردن. بسیار شبیه مو طبیعی قیمت مناسب گذاشتم فروش بره قیمتش بالای 100 تومان هست,personal
نیسان مدل 93,دوگانه فابریک ، بیمه دوماه ،در سمت شاگرد رنگ ، تخفیف جزئی پای معامله,vehicles
میز پشخوان فلزی 2عدد2متری,2عدد میز پیشخوان فلزی 2متری جفتش 100تومان,businesses
فروش اکواریوم با تمام لوازم  حتما بخونید,دو عدد اکواریوم یکیش 55*35*40اون یکیش کوچک تره و لوازم نداره فقط اکواریومه خالیه پمپ هوا لامپ ال ای دی تسویه تور ماهی گوشتخوار پرت اسکار سیچلاید ماکرو و...  ماسه کف با کلی سنگ فروش فوری اکواریوم هارو تک هم میدم,leisure-hobbies
گوشی z1,بشرط بدون هیچ مشکلی,electronic-devices
سیکو ( تلویزیونی ),"کاملا سالم 
اتوماتیک و بدنه تمام استیل",personal
گوشیه موبایل سونی T,کاملا سالم همراه ضد خش و دو کبدیس بدون خط وخش,electronic-devices
ساعت SAINTHONOREاصل سوئیسی,دست 2میباشد نو این ساعت$NUMمیباشد شیشه ضد خش,personal
xbox360+hard320+80games,"دستگاه آخرین آپدیت روش هست 
همه چیش سالمه مدلشم آرکید هست
کپی خور شده. جی تگ نشده و میشه آنلاین بازی کرد اما اکانت گلد نداره
دارای دو دسته اصل بی سیم ک هرکدومشو ۷۰ خریدم
قیمت خوبی گزاشتم فقط ۵۰۰ تومن پول هاردو بازیاشو دادم
مشتری واقعی از تلگرام پیم بده یا اس بده جواب میدم
ب خریدار واقعی یه تخفیف جزئی هم میدم",electronic-devices
رینگ اسپورت تیبا,رینگ مخصوص تیبا زیر ماشین خیلی خوشکل میشه مقداری تخفیف دارد فاکتور هم دارد یک عدد تعادل فرمان سمت راننده مخصوص تیبا در حدنو همراه رینگها داده میشود.مقداری تخفیف دارد ضمنا دو عدد لاستیک هفتاد درصد هم جداگانه هست اونارو هم باکمترین قیمت میدم ازطریق تلگرام میتونم عکساشو بفرستم,vehicles
اسکیت ژله ای,"یک جفت اسکیت حرفه ای سایز 4سال تا 10 سال تنظیم میشه
قیمتش مناسبه",leisure-hobbies
کارت شبکه و سوئیچ ۵ پورت,"کارت شبکه TP-Link TF-3200
سوئیچ D-Link DES-1005A
فروش هر دو قطعه به قیمت مناسب",electronic-devices
جک پژو و فرمون پژو405,"جک پژویی فرانسوی با آچار چرخ 45000تومان
فرمان پژو فابریک 405فرانسوی65000تومان",vehicles
دستگاه کوچک کردن شکم وپهلو,نووآک میباشدجهت ورزش کردن درمنزل وتناسب اندام,leisure-hobbies
دو عدد  سطل استیل کاملا نو,"دو تا سطل استیل در حد  نو 
هر کدام 40 تومن",businesses
پارس دوگانه بدون رنگ,بدون رنگ دوگانه کارخانه بدون هیچ گونه ایراد چهار سال خواب کیلومتر واقعی به شرط دیاگ رینگ اسپرت لاستیک پهن نو دزد گیر ماجیکار . جی پی اس. روکش صندلی. کفپوش. دور فرمان دوختنی ست روکش صندلی مخصوص مشکل پسندان. خودرو خاص خاص,vehicles
دریل,دریل سالم فقط کلیده جهت چپ راستش شکسته جهت راست کار میکنه,businesses
زبان انگلیسی جامع مهروماه,چاپ 94 - بسیار نو و تمیز - قیمت روی جلد 22 تومن,leisure-hobbies
انگشترعقیق سبز,انگشترعقیق سبز بسیارزیبا ومهر دار وکلکسیونی,personal
روروئک نو نو,روروئک در حد نو اصلا استفاده نشده برای سیسمونی,personal
بخاری ازمایش,دو سال کار کرده سالم دوازده هزار مقطوع,for-the-home
زیرو رو سایزبندی ۳۸ تا ۵۲,"زیرو رو بهم چسبیده
۳۸تا ۵۲
فروش حضوریم داره 
ارسالم دارم به همه جا
هرگونه مزاحمت پیگیری میشود",personal
کالسکه عصایی Hope child,تمیز و کاملا سالم. سبک و کمجا. تنظیم پشتی نشیمنگاه به حالتهای خوابیده لمیده و نشسته.باز و بسته شدن راحت و سریع. دسته های قابل تنظیم. دارای کاور باد و بارون.دارای سبد خرید.لطفا در صورت پسند فقط تماس یا در تلگرام,personal
مرغ عشق مولد,"سلام
12عدد مرغ عشق ی جفت مولد اصلی با دو جوجه ک هنوز دونخور نشدن و8عدد مولد ک ازجوجه های  سری قبل همین جفت هستن هر دفعه 4تا جوجه میده ایندفعه بخاطر سردی هوا دوتاشون مردن همشون از ی پدرو مادرن و مولد واقعی هستن جفت اصلی دوباره میخوان تخم بزارن جهت فروش یا معاوضه با قناری
کسی قناری داشت معاوضه میکنم اگ قیمت قناریا بیشتر هم بود پولشو میدم",leisure-hobbies
پراید 86دو گانه کارخانه,دو گانه کار خانه، 6ماه بیمه،تخفیف1سال،سند تک برگ،,vehicles
ساعت GUCCI,"بدون تعمیر
بدون خط و خش
سه موتوره 
بدون هیچ مشکلی
بند چرم
تماس بگیرید",personal
دستگاه روغن کشی دانه ای,"تمام دانه های روغنی(کنجد،سیاه دانه،بادام، کتان،...)
کارکرد دستگاه به مدت سه هفته می باشد",businesses
سمندLXنوک مدادی بسیار سالم,باسلام ماشین بدون تصادف دولکه رنگ شدگی دارد بشرط صافکار شمابدون خط خش قوری-فنی خیلی خیلی سالم بشرط -بیمه تا اول3/96لاستیک خوب205  بدونه خرج اضافه ای-قیمت مقطوع-تماس بعداز ساعت اداری- ممنون ازدوستان عزیزکه اگهی بنده را مطالعه کردند(قیمت مقطوع),vehicles
هیوندای آی٢٠,بیرنگ-بیمه یکسال-تمام سرویسها در نمایندگی مجاز,vehicles
تخت و رو تختی,تخت ب همراه رو تختی.ام دی افش رنگ میخواد.صد تومن.,for-the-home
ویترین .قفسه,تعدادی ویترین و قفسه جهت دکور مغازه .به ارزانترین قیمت .,businesses
موتور شارژی,موتور شارژی بن تن .  کم کار . تمیز. نو,personal
43سایزش,فقط و فقط 2بار پام کردم,personal
کیس اورجینال اپل,کلا شاید ۲دفعه ازش استفاده شده! فقط تماس درخدمتم!!!!,electronic-devices
فروش ناری ساز (میکسر) و دستگاه بلوکه زنی,یک عدد دستگاه میکسر وبلوکه زنی به فروش میرسد,businesses
لوازم فلافلی,یخچال خوابیده ویترینی و فر فلافلی میز صندلی و تابلو همگی یکجا هشتصد هزار تومن میدم تخفیف نمیدم اس ام اس جواب نمیدم زنگ بزنید،یاعلی,businesses
روروک بی بی اسکای,روروک بی بی اسکای فوقالعاده سالم موزیکال,personal
تخمه آفتاب گردان بیجاردرجه یک,قیمت عمده 9000جزعی10000,businesses
ps3,پلی استیشن فت اخرین اپدیت کپی بهمراه هارد اکستنرال و دودسته ۱۲ تا بازی سالم و کم کارکرد,electronic-devices
مبلمان و میز...صندلی,مبل 9 و 7 نفره...جلومبلی +دوعدد عسلی....نهارخوری در اندازه مختلف....چوب و رزین,for-the-home
دوچرخه اکسیژن در حد نو,"دوچرخه در حد نو 
رنگ مشکی 
لاستیک در حد نو 
به خریدار واقعی تخفیف میدم 
شماره متصل به تلگرام 
$NUM
عکس های بیشتر داخل تلگرام در خدمتم",leisure-hobbies
2 عدد کاپشن دخترانه سبز و نارنجی,تعدادی لباس دیگر هم موجود است,personal
سماور گازی آیلار 8 لیتری نو,سماور آیلار آکبند,for-the-home
دوربین عکاسی Canon A2200,"دوربین عکاسی Canon A2200 در حد نو
14 مگا پیکسل حرفه ای
به همراه مموری 8 گیگ و کیف دوربین",electronic-devices
پخش بدنه. خودرو رنگی کوره ای,نصب قطعات رایگان انجام میشود,vehicles
جیلی 2014 بدون رنگ هاچ بک,جیلی$NUMکم کاربیمه بدنه وثالث. کارکرد 35هزار تا. معاوضه هم دارم با ماشین همین قیمت,vehicles
مبلمان هفت نفره,ست مبلمان هفت نفره با دو عدد میز جلو مبلى کاملا سالم.,for-the-home
فروش یک دستگاه الپتیکال,یک دستگاه الپتیکال خانگی در حد نو,leisure-hobbies
مرغ و خروس طا قچه,مرغ و خروس طاقچه بصورت دانه ای بفروش میرسد قیمت مقطوع میباشد,leisure-hobbies
سه چرخه کودک,"فوری فروشی
امروز برامون کادو آوردن خودمون داریم یکی نوی نو",leisure-hobbies
گوشی سامسونگ اس5 تعویض,اکبند سفید تکسیم با تمام وسایل وکارتن فقط تعویض با ایفون مدل بالا بود سر میدم,electronic-devices
امپ فول تیوب ووکس,آمپ فول تیوب ووکس آکبند .مدل ac4tv...به همراه یک عدد کابل,leisure-hobbies
عروس هلندی جوجه سرلاکی,یک عدد عروس هلندی جوجه سرلاکی،خاکستری،نر،درشت و کشیده،سالم و سر حال,leisure-hobbies
ساب و باکس و آمپیلی,ساب کنوود 800 وات به همراه باکس استوانه و آمپیلی 4کنال مکسیدر کاملا سالم.,vehicles
iphone 5s 32 gray ( LLA ),زیر قیمت ، سالم سالم ... بدنه کمی زدگی دارد,electronic-devices
21سامسونگ با میز شیشه ای,تلویزیون سامسونگ کاملاً سلام بهمراه میز شیشه ای مناسب و سالم,electronic-devices
دستگاه تراش تبریز,مدل63.گیر بکس موتور سالم.یک و نیم متر,businesses
کفش تیمبرلند اوجینال سایز 42,"کفش اورجینال بوده و به هیچ عنوان استفاده نشده (حتی یکبار)
کاملا تضمینی و بهترین کیفیت .
با تمام روشهای تشخیص اصل بودن تطابق دارد .
برای اطلاعات بیشتر تماس بگیرید .",personal
دو عدد راحتى یک نفره با روکش,روکش زیپى بوده و قابل تعویض و شستشو.,for-the-home
هاجبک سفید,ماشین بی خرج سالم تخفیف سر قولنامه,vehicles
میز نهارخوری,خودم ٦٨٠ خریدم نونو تمیز بدون زدگی -,for-the-home
فروش پرده,"پارچه ترک .هنوز شسته نشده فقط 4ماهه خریداری شده
2/20#3",for-the-home
امپیلی۴کانال پایونیر,بدون تعمیر درحد اکبند ساخت مکزیک,vehicles
"LED 32"" LG","تولید ۲۰۱۶ کره‌ای اصلی 
۲ کنترله 
ریسیور دار 
گیرنده دیجیتال 
HDMI 
full HD
با تشکر فراوان از دیوار",electronic-devices
نیتروژن V8درحدنووو,نیتروژنV8در حدنووووو,businesses
کیف اداری چرم,کاملا نو..رنگ قهوه ای تیره..,personal
تلفکس پاناسنیک,"تلفنفکس پاناسنیک مدل711
بسیارتمیز کم کارکرد
نوش الان تو بازار360هزارتومن هستش.
پیامک پاسخگونیستم$NUM",electronic-devices
نهارخوری 6نفره در مراغه,"کاملا سالم ودر حد نو
بعلت کمبود جا میفروشیم وگرنه خودمون 2میلیون تومان خریدیم. 
با میز شیشه ای و صندلی های تمام استیل وتشک چرم.
مناسب جهیزیه
محل فروش:مراغه",for-the-home
صندلی چرخدار,صندلی چرخدار با قابلیت تنظیم ارتفاع  70 برای فروش گذاشتم خیلی سالم هستش,businesses
دانفز,"یه  جفت کفتر قلدر نرش قره سرخ اتیشی
مادش پلنگ دو بر یهودی دانفز
درشت و سالم",leisure-hobbies
